title,runtimeMinutes,averageRating,numVotes,director,writer,productionBudget,domesticGross,worldwideGross,releaseYear,releaseMonth,releaseDay,genre-1,genre-2,genre-3,budgetYear,domesticGrossYear,worldwideGrossYear
Harlem Nights,116,6.1,24637,Eddie Murphy,Eddie Murphy,30000000,60857262,95857262,1989,11,17,Comedy,Crime,Drama,15082.956259426848,30596.91402714932,48193.696329813974
Major League,107,7.2,75682,David S. Ward,David S. Ward,11000000,49793054,49793054,1989,4,7,Comedy,Sport,NA,5530.417295123178,25034.215183509303,25034.215183509303
Pet Sematary,103,6.5,114243,Mary Lambert,Stephen King,11500000,57469179,57469850,1989,4,21,Fantasy,Horror,Thriller,5781.799899446958,28893.503770739066,28893.841126194067
Roger & Me,91,7.5,27451,Michael Moore,Michael Moore,140000,6706368,6706368,1989,12,20,Documentary,NA,NA,70.38712921065863,3371.7285067873304,3371.7285067873304
Sea of Love,113,6.8,44616,Harold Becker,Richard Price,19000000,58571513,110879513,1989,9,15,Crime,Drama,Mystery,9552.53896430367,29447.718954248365,55746.361488185015
"Sex, Lies, and Videotape",100,7.2,59024,Steven Soderbergh,Steven Soderbergh,1200000,24741667,36741667,1989,8,4,Drama,NA,NA,603.3182503770739,12439.249371543488,18472.43187531423
Child's Play 2,84,5.9,57217,John Lafia,Don Mancini,13000000,26904572,34166572,1990,11,9,Horror,Thriller,NA,6532.663316582914,13519.885427135678,17169.13165829146
Dances with Wolves,181,8.0,288215,Kevin Costner,Michael Blake,19000000,184208842,424208805,1990,11,9,Adventure,Drama,Western,9547.738693467336,92567.25728643216,213170.2537688442
Flatliners,115,6.5,92851,Joel Schumacher,Peter Filardi,26000000,61308153,61308153,1990,8,10,Drama,Horror,Sci-Fi,13065.326633165829,30808.117085427137,30808.117085427137
Ghost,127,7.1,234157,Jerry Zucker,Bruce Joel Rubin,22000000,217631306,517599988,1990,7,13,Drama,Fantasy,Romance,11055.276381909547,109362.46532663316,260100.49648241207
Home Alone,103,7.7,649278,Chris Columbus,John Hughes,15000000,285761243,476680641,1990,11,16,Comedy,Family,NA,7537.688442211055,143598.61457286432,239538.01055276382
Metropolitan,98,7.3,12350,Whit Stillman,Whit Stillman,430000,2938000,2938000,1990,8,3,Comedy,Drama,Romance,216.08040201005025,1476.3819095477386,1476.3819095477386
Mo' Better Blues,129,6.7,13564,Spike Lee,Spike Lee,10000000,16153000,16153000,1990,8,3,Drama,Music,Romance,5025.125628140703,8117.085427135678,8117.085427135678
Pretty Woman,119,7.1,357877,Garry Marshall,J.F. Lawton,14000000,178406268,432566361,1990,3,23,Comedy,Romance,NA,7035.175879396985,89651.39095477387,217370.03065326632
Boyz n the Hood,112,7.8,153377,John Singleton,John Singleton,6500000,56190094,56215095,1991,7,12,Crime,Drama,NA,3264.6911099949775,28222.04620793571,28234.603214465093
The Fisher King,137,7.5,90453,Terry Gilliam,Richard LaGravenese,24000000,41798224,41798224,1991,9,20,Comedy,Drama,Fantasy,12054.244098442994,20993.583124058263,20993.583124058263
Harley Davidson and the Marlboro Man,98,6.1,22226,Simon Wincer,Don Michael Paul,23000000,7018525,7018525,1991,8,23,Action,Crime,Drama,11551.983927674535,3525.125565042692,3525.125565042692
Light Sleeper,103,6.9,9226,Paul Schrader,Paul Schrader,5000000,1050861,1050861,1992,9,21,Crime,Drama,NA,2510.0401606425703,527.5406626506024,527.5406626506024
My Girl,102,6.9,88253,Howard Zieff,Laurice Elehwany,16500000,58011485,58011485,1991,11,27,Comedy,Drama,Family,8287.292817679558,29136.858362631843,29136.858362631843
Quigley Down Under,119,6.9,24263,Simon Wincer,John Hill,20000000,21413105,21413105,1990,10,19,Action,Adventure,Drama,10050.251256281406,10760.354271356784,10760.354271356784
Stone Cold,92,6.1,9939,Craig R. Baxley,Walter Doniger,25000000,9286314,9286314,1991,5,17,Action,Crime,Drama,12556.504269211451,4664.145655449523,4664.145655449523
The Bodyguard,129,6.4,146678,Mick Jackson,Lawrence Kasdan,25000000,122006740,411006740,1992,11,25,Action,Drama,Music,12550.20080321285,61248.36345381526,206328.6847389558
Buffy the Vampire Slayer,86,5.7,49141,Fran Rubel Kuzui,Joss Whedon,7000000,14231669,14231669,1992,7,31,Action,Comedy,Fantasy,3514.0562248995984,7144.412148594378,7144.412148594378
The Crying Game,112,7.2,59773,Neil Jordan,Neil Jordan,4000000,62546695,62546695,1992,11,25,Crime,Drama,Romance,2008.0321285140562,31398.94327309237,31398.94327309237
Excessive Force,87,5.3,1479,Jon Hess,Thomas Ian Griffith,13000000,1152117,1152117,1993,5,14,Action,NA,NA,6522.829904666332,578.0817862518816,578.0817862518816
A Few Good Men,138,7.7,285344,Rob Reiner,Aaron Sorkin,33000000,141340178,236500000,1992,12,11,Drama,Thriller,NA,16566.265060240963,70953.9046184739,118724.89959839357
Glengarry Glen Ross,100,7.7,115118,James Foley,David Mamet,12500000,10725228,10725650,1992,9,30,Crime,Drama,Mystery,6275.100401606425,5384.150602409639,5384.362449799197
Hoffa,140,6.6,24669,Danny DeVito,David Mamet,35000000,23365858,28391473,1992,12,25,Biography,Crime,Drama,17570.281124497993,11729.848393574297,14252.74748995984
Home Alone 2: Lost in New York,120,6.9,400281,Chris Columbus,John Hughes,20000000,173585516,358994850,1992,11,20,Adventure,Comedy,Crime,10040.160642570281,87141.3232931727,180218.2981927711
The Mighty Ducks,104,6.6,71361,Stephen Herek,Steven Brill,10000000,50752337,50752337,1992,10,2,Comedy,Drama,Family,5020.080321285141,25478.080823293174,25478.080823293174
My Cousin Vinny,120,7.6,138951,Jonathan Lynn,Dale Launer,11000000,52929168,52929168,1992,3,13,Comedy,Crime,NA,5522.088353413655,26570.86746987952,26570.86746987952
The Player,124,7.5,65370,Robert Altman,Michael Tolkin,8000000,21706101,28876702,1992,4,10,Comedy,Crime,Drama,4016.0642570281125,10896.637048192772,14496.336345381525
Raising Cain,92,6.1,17339,Brian De Palma,Brian De Palma,11000000,21171695,21171695,1992,8,7,Crime,Drama,Horror,5522.088353413655,10628.3609437751,10628.3609437751
Split Second,90,6.0,16493,Tony Maylam,Gary Scott Thompson,7000000,5430822,5430822,1992,5,1,Action,Crime,Horror,3514.0562248995984,2726.3162650602408,2726.3162650602408
Unforgiven,130,8.2,433668,Clint Eastwood,David Webb Peoples,14400000,101157447,159157447,1992,8,7,Drama,Western,NA,7228.915662650603,50781.85090361446,79898.31676706827
Dazed and Confused,103,7.6,197959,Richard Linklater,Richard Linklater,6900000,8146774,8154745,1993,9,24,Comedy,NA,NA,3462.117410938284,4087.693928750627,4091.693426994481
Philadelphia,125,7.7,256684,Jonathan Demme,Ron Nyswaner,26000000,77324422,201324422,1993,12,22,Drama,NA,NA,13045.659809332665,38798.00401404917,101015.76618163573
The Piano,121,7.5,94622,Jane Campion,Jane Campion,7000000,40157856,40212480,1993,7,22,Drama,Music,Romance,3512.2930255895635,20149.451078775714,20176.85900652283
Poetic Justice,109,6.1,16486,John Singleton,John Singleton,14000000,27450453,27450453,1993,7,23,Drama,Romance,NA,7024.586051179127,13773.433517310586,13773.433517310586
Rudy,114,7.5,68622,David Anspaugh,Angelo Pizzo,12000000,22750363,22750363,1993,10,13,Biography,Drama,Sport,6021.073758153538,11415.134470647265,11415.134470647265
Shadowlands,131,7.3,20323,Richard Attenborough,William Nicholson,22000000,25842377,25842377,1993,12,29,Biography,Drama,Romance,11038.635223281486,12966.571500250879,12966.571500250879
There Goes My Baby,99,6.3,1165,Floyd Mutrux,Floyd Mutrux,10500000,125169,125169,1994,9,2,Comedy,Drama,NA,5265.79739217653,62.7728184553661,62.7728184553661
What's Eating Gilbert Grape,118,7.7,252608,Lasse Hallström,Peter Hedges,11000000,9170214,9170214,1993,12,25,Drama,NA,NA,5519.317611640743,4601.211239337682,4601.211239337682
Clerks,92,7.7,231513,Kevin Smith,Kevin Smith,27000,3073428,3894240,1994,10,19,Comedy,NA,NA,13.54062186559679,1541.3380140421264,1952.9789368104314
Exotica,103,7.0,20977,Atom Egoyan,Atom Egoyan,1500000,5046118,5046118,1994,9,23,Drama,NA,NA,752.2567703109328,2530.6509528585757,2530.6509528585757
Four Weddings and a Funeral,117,7.1,164930,Mike Newell,Richard Curtis,4500000,52700832,242895809,1994,3,9,Comedy,Drama,Romance,2256.7703109327986,26429.705115346038,121813.3445336008
A Low Down Dirty Shame,100,5.9,7737,Keenen Ivory Wayans,Keenen Ivory Wayans,10000000,29317886,29317886,1994,11,23,Action,Comedy,Crime,5015.045135406219,14703.052156469408,14703.052156469408
Renaissance Man,128,6.2,18947,Penny Marshall,Jim Burnstein,40000000,24172899,24172899,1994,6,3,Comedy,Drama,NA,20060.180541624875,12122.817953861584,12122.817953861584
The River Wild,111,6.5,49904,Curtis Hanson,Denis O'Neill,45000000,46815000,94215000,1994,9,30,Adventure,Crime,Thriller,22567.703109327984,23477.93380140421,47249.24774322969
Serial Mom,95,6.8,32409,John Waters,John Waters,13000000,7881335,7881335,1994,4,13,Comedy,Crime,Thriller,6519.558676028084,3952.525075225677,3952.525075225677
Speed,116,7.3,389273,Jan de Bont,Graham Yost,30000000,121248145,283200000,1994,6,10,Action,Adventure,Thriller,15045.135406218656,60806.491975927784,142026.07823470412
Street Fighter,102,4.0,74957,Steven E. de Souza,Steven E. de Souza,35000000,33423000,99423000,1994,12,23,Action,Adventure,Comedy,17552.657973921767,16761.785356068205,49861.083249749245
The American President,114,6.8,60364,Rob Reiner,Aaron Sorkin,62000000,60022813,107822813,1995,11,17,Comedy,Drama,Romance,31077.694235588973,30086.62305764411,54046.52280701754
Braveheart,178,8.3,1085776,Mel Gibson,Randall Wallace,72000000,75545647,209045244,1995,5,24,Biography,Drama,History,36090.22556390977,37867.49223057644,104784.58345864662
The Brothers McMullen,98,6.6,8162,Edward Burns,Edward Burns,50000,10426506,10426506,1995,8,9,Comedy,Drama,Romance,25.06265664160401,5226.318796992481,5226.318796992481
Clueless,97,6.9,243260,Amy Heckerling,Amy Heckerling,13700000,56598476,57956789,1995,7,1,Comedy,Romance,NA,6867.167919799499,28370.163408521305,29051.022055137844
Desperado,104,7.1,196688,Robert Rodriguez,Robert Rodriguez,7000000,25532388,25532388,1995,8,25,Action,Crime,Drama,3508.7719298245615,12798.189473684211,12798.189473684211
The Incredibly True Adventure of Two Girls in Love,94,6.6,5062,Maria Maggenti,Maria Maggenti,250000,2210408,2477155,1995,6,16,Comedy,Drama,Romance,125.31328320802005,1107.9739348370927,1241.6817042606517
Jade,95,5.3,14123,William Friedkin,Joe Eszterhas,50000000,9812870,9812870,1995,10,13,Crime,Drama,Thriller,25062.65664160401,4918.731829573935,4918.731829573935
Jefferson in Paris,139,5.7,3178,James Ivory,Ruth Prawer Jhabvala,14000000,2461628,2461628,1995,3,31,Biography,Drama,History,7017.543859649123,1233.898746867168,1233.898746867168
Mallrats,94,7.0,128376,Kevin Smith,Kevin Smith,6100000,2108367,2108367,1995,10,20,Comedy,Romance,NA,3057.6441102756894,1056.8255639097745,1056.8255639097745
The Quick and the Dead,108,6.5,102158,Sam Raimi,Simon Moore,32000000,18552460,18552460,1995,2,10,Action,Drama,Romance,16040.100250626567,9299.478696741855,9299.478696741855
Rob Roy,139,6.9,45390,Michael Caton-Jones,Alan Sharp,28000000,31390587,31390587,1995,4,7,Adventure,Biography,Drama,14035.087719298246,15734.63007518797,15734.63007518797
Se7en,127,8.6,1782687,David Fincher,Andrew Kevin Walker,30000000,100125643,328125643,1995,9,22,Crime,Drama,Mystery,15037.593984962406,50188.292230576444,164474.00651629074
Showgirls,128,5.1,73988,Paul Verhoeven,Joe Eszterhas,40000000,20350754,37750754,1995,1,6,Drama,NA,NA,20050.12531328321,10200.879197994987,18922.683709273184
Species,108,5.9,84838,Roger Donaldson,Dennis Feldman,35000000,60054449,113354449,1995,7,7,Action,Horror,Sci-Fi,17543.859649122805,30102.480701754386,56819.272681704264
The Usual Suspects,106,8.5,1138821,Bryan Singer,Christopher McQuarrie,6000000,23341568,34449356,1995,8,16,Crime,Drama,Mystery,3007.5187969924814,11700.034085213032,17267.847619047618
Virtuosity,106,5.5,32197,Brett Leonard,Eric Bernt,30000000,23998226,23998226,1995,8,4,Action,Crime,Sci-Fi,15037.593984962406,12029.18596491228,12029.18596491228
Broken Arrow,108,6.1,104788,John Woo,Graham Yost,65000000,70645997,148345997,1996,2,9,Action,Adventure,Thriller,32565.13026052104,35393.78607214429,74321.64178356713
The Cable Guy,96,6.1,176985,Ben Stiller,Lou Holtz Jr.,47000000,60240295,102825796,1996,6,14,Comedy,Drama,Thriller,23547.094188376752,30180.508517034068,51515.929859719436
Courage Under Fire,116,6.6,59199,Edward Zwick,Patrick Sheane Duncan,46000000,59003384,100833145,1996,7,12,Action,Drama,Mystery,23046.09218436874,29560.81362725451,50517.60771543086
Daylight,114,5.9,76395,Rob Cohen,Leslie Bohem,80000000,32908290,158908290,1996,12,6,Action,Adventure,Drama,40080.160320641284,16487.119238476953,79613.37174348698
Everyone Says I Love You,101,6.7,39214,Woody Allen,Woody Allen,20000000,9725847,34600000,1996,12,6,Comedy,Musical,Romance,10020.040080160321,4872.668837675351,17334.669338677355
Faithful,91,5.8,2259,Paul Mazursky,Chazz Palminteri,13000000,2104439,2104439,1996,4,5,Comedy,Crime,Drama,6513.026052104208,1054.3281563126252,1054.3281563126252
Fled,98,5.4,9753,Kevin Hooks,Preston A. Whitmore II,30000000,17192205,19892205,1996,7,19,Action,Adventure,Crime,15030.060120240481,8613.329158316634,9966.034569138277
Flirting with Disaster,92,6.7,19904,David O. Russell,David O. Russell,7000000,14853474,16149180,1996,3,22,Comedy,NA,NA,3507.0140280561122,7441.620240480962,8090.771543086173
Freeway,102,6.8,31386,Matthew Bright,Matthew Bright,3000000,295493,295493,1996,8,23,Crime,Drama,Thriller,1503.006012024048,148.0425851703407,148.0425851703407
The Funeral,99,6.6,9357,Abel Ferrara,Nicholas St. John,12500000,1212799,1412799,1996,11,1,Crime,Drama,NA,6262.5250501002,607.6147294589179,707.8151302605211
Get on the Bus,120,6.9,6009,Spike Lee,Reggie Rock Bythewood,2400000,5691854,5691854,1996,10,16,Adventure,Drama,History,1202.4048096192384,2851.630260521042,2851.630260521042
The Ghost and the Darkness,110,6.8,65689,Stephen Hopkins,William Goldman,55000000,38564422,38564422,1996,10,11,Adventure,Drama,Thriller,27555.11022044088,19320.85270541082,19320.85270541082
Ghosts of Mississippi,130,6.7,12101,Rob Reiner,Lewis Colick,36000000,13052741,13052741,1996,12,20,Drama,History,NA,18036.072144288577,6539.449398797595,6539.449398797595
Girl 6,108,5.3,6597,Spike Lee,Suzan-Lori Parks,12000000,4880941,4880941,1996,3,22,Comedy,Drama,NA,6012.024048096192,2445.36122244489,2445.36122244489
