title,runtimeMinutes,averageRating,numVotes,director,writer,productionBudget,domesticGross,worldwideGross,releaseYear,releaseMonth,releaseDay,genre-1,genre-2,genre-3,budgetYear,domesticGrossYear,worldwideGrossYear
The Cell,107,6.4,108573,Tarsem Singh,Mark Protosevich,35000000,61280963,104102747,2000,8,18,Crime,Horror,Sci-Fi,17500.0,30640.4815,52051.3735
Beautiful,112,5.6,4290,Sally Field,Jon Bernstein,9000000,3134509,3134509,2000,9,29,Comedy,Drama,NA,4500.0,1567.2545,1567.2545
Center Stage,115,6.7,22722,Nicholas Hytner,Carol Heikkinen,18000000,17200925,21361109,2000,5,12,Drama,Music,Romance,9000.0,8600.4625,10680.5545
Remember the Titans,113,7.8,230633,Boaz Yakin,Gregory Allen Howard,30000000,115719751,136771683,2000,9,29,Biography,Drama,Sport,15000.0,57859.8755,68385.8415
Awake,84,6.5,80234,Joby Harold,Joby Harold,8600000,14373825,32968648,2007,11,30,Crime,Drama,Mystery,4285.002491280518,7161.846038863976,16426.83009466866
2046,129,7.4,61466,Kar-Wai Wong,Kar-Wai Wong,12000000,1442338,19278598,2004,10,15,Drama,Romance,Sci-Fi,5988.023952095808,719.7295409181637,9620.05888223553
Groove,86,6.6,4507,Greg Harrison,Greg Harrison,500000,1115313,1167524,2000,6,9,Drama,Music,NA,250.0,557.6565,583.762
Pearl Harbor,183,6.2,350167,Michael Bay,Randall Wallace,151500000,198539855,449239853,2001,5,25,Action,Drama,History,75712.14392803598,99220.31734132934,224507.67266366817
Bamboozled,135,6.7,12267,Spike Lee,Spike Lee,10000000,2185266,2373937,2000,10,6,Comedy,Drama,Music,5000.0,1092.633,1186.9685
Loser,98,5.3,30265,Amy Heckerling,Amy Heckerling,20000000,15464026,18250106,2000,7,21,Comedy,Romance,NA,10000.0,7732.013,9125.053
Ready to Rumble,107,5.3,15248,Brian Robbins,Steven Brill,24000000,12372410,12372410,2000,4,7,Comedy,Sport,NA,12000.0,6186.205,6186.205
Unbreakable,106,7.3,438756,M. Night Shyamalan,M. Night Shyamalan,73243106,94999143,248099143,2000,11,22,Drama,Mystery,Sci-Fi,36621.553,47499.5715,124049.5715
Beyond the Mat,102,7.6,9444,Barry W. Blaustein,Barry W. Blaustein,500000,2047570,2047570,1999,10,22,Biography,Documentary,Sport,250.12506253126563,1024.2971485742871,1024.2971485742871
An Everlasting Piece,103,6.2,1736,Barry Levinson,Barry McEvoy,4000000,75078,75078,2000,12,22,Comedy,NA,NA,2000.0,37.539,37.539
Soul Survivors,84,3.9,9578,Stephen Carpenter,Stephen Carpenter,14000000,3100650,4288246,2001,9,7,Horror,Mystery,Thriller,6996.5017491254375,1549.5502248875562,2143.0514742628684
Antitrust,108,6.1,30232,Peter Howitt,Howard Franklin,30000000,10965209,17865209,2001,1,12,Action,Crime,Drama,14992.503748125937,5479.864567716142,8928.140429785108
The Kid,104,6.1,44226,Jon Turteltaub,Audrey Wells,65000000,69688384,69688384,2000,7,7,Comedy,Family,Fantasy,32500.0,34844.192,34844.192
Lucky Numbers,105,5.1,10898,Nora Ephron,Adam Resnick,65000000,10014234,10014234,2000,10,27,Comedy,Crime,NA,32500.0,5007.117,5007.117
Bandits,123,6.5,70710,Barry Levinson,Harley Peyton,75000000,41523271,71523271,2001,10,12,Comedy,Crime,Drama,37481.259370314845,20751.25987006497,35743.763618190904
The Glass House,106,5.8,39661,Daniel Sackheim,Wesley Strick,22000000,17951431,22861785,2001,9,14,Crime,Drama,Mystery,10994.502748625688,8971.229885057472,11425.179910044977
The Broken Hearts Club: A Romantic Comedy,94,6.9,8146,Greg Berlanti,Greg Berlanti,1000000,1744858,2022442,2000,9,29,Comedy,Drama,Romance,500.0,872.429,1011.221
Angel Eyes,102,5.7,25617,Luis Mandoki,Gerald Di Pego,38000000,24044532,29544532,2001,5,18,Drama,Romance,NA,18990.504747626186,12016.257871064468,14764.88355822089
Made,95,6.3,19297,Jon Favreau,Jon Favreau,5000000,5308707,5476060,2001,7,13,Comedy,Crime,Drama,2498.750624687656,2653.0269865067467,2736.661669165417
Spy Kids,88,5.6,126559,Robert Rodriguez,Robert Rodriguez,35000000,112692062,197692062,2001,3,30,Action,Adventure,Comedy,17491.254372813593,56317.87206396802,98796.63268365817
The Others,101,7.6,390985,Alejandro Amenábar,Alejandro Amenábar,17000000,96545842,207788211,2001,8,10,Horror,Mystery,Thriller,8495.752123938031,48248.79660169915,103842.1844077961
The Salton Sea,103,7.0,31946,D.J. Caruso,Tony Gayton,18000000,676698,676698,2002,4,26,Crime,Drama,Mystery,8991.008991008992,338.010989010989,338.010989010989
The Mexican,123,6.1,112738,Gore Verbinski,J.H. Wyman,40000000,66808615,145238250,2001,3,2,Adventure,Comedy,Drama,19990.004997501248,33387.61369315342,72582.8335832084
God's Army,108,6.2,1144,Richard Dutcher,Richard Dutcher,300000,2637726,2652515,2000,3,10,Drama,NA,NA,150.0,1318.863,1326.2575
Gossip,134,4.8,839,Colin Nutley,Colin Nutley,14000000,5108820,12591270,2000,4,21,Comedy,Drama,NA,7000.0,2554.41,6295.635
Equilibrium,107,7.3,345554,Kurt Wimmer,Kurt Wimmer,20000000,1190018,5345869,2002,12,6,Action,Drama,Sci-Fi,9990.00999000999,594.4145854145854,2670.2642357642358
Sidewalks of New York,108,6.4,6903,Edward Burns,Edward Burns,1000000,2402459,3575308,2001,11,21,Comedy,Romance,NA,499.7501249375312,1200.6291854072963,1786.760619690155
Kung Pow: Enter the Fist,81,6.2,48319,Steve Oedekerk,Steve Oedekerk,10000000,16033556,17033556,2002,1,25,Action,Comedy,NA,4995.004995004995,8008.7692307692305,8508.26973026973
Serendipity,90,6.8,120833,Peter Chelsom,Marc Klein,28000000,50255310,77477297,2001,10,5,Comedy,Romance,NA,13993.003498250875,25115.097451274363,38719.28885557222
Slackers,86,5.3,15186,Dewey Nicks,David H. Steinberg,11000000,4814244,5942218,2002,2,1,Comedy,Romance,NA,5494.505494505494,2404.7172827172826,2968.140859140859
The New Guy,88,5.8,37519,Ed Decter,David Kendall,13000000,28972187,28972187,2002,5,10,Comedy,NA,NA,6493.506493506494,14471.621878121878,14471.621878121878
"Dude, Where's My Car?",83,5.5,145235,Danny Leiner,Philip Stark,13000000,46729374,73180297,2000,12,15,Comedy,Mystery,Sci-Fi,6500.0,23364.687,36590.1485
40 Days and 40 Nights,96,5.6,75624,Michael Lehmann,Rob Perez,17000000,37939782,95092667,2002,3,1,Comedy,Romance,NA,8491.508491508492,18950.94005994006,47498.83466533467
Swordfish,99,6.5,195621,Dominic Sena,Skip Woods,80000000,69772969,147080413,2001,6,8,Action,Crime,Thriller,39980.009995002496,34869.049975012495,73503.4547726137
The Forsaken,90,5.3,9147,J.S. Cardone,J.S. Cardone,5000000,6755271,6755271,2001,4,27,Action,Horror,Thriller,2498.750624687656,3375.9475262368815,3375.9475262368815
Donnie Darko,113,8.0,845068,Richard Kelly,Richard Kelly,4500000,1480006,7510154,2001,10,26,Drama,Mystery,Sci-Fi,2248.8755622188905,739.6331834082958,3753.2003998001
Tomcats,95,5.3,19441,Gregory Poirier,Gregory Poirier,11000000,13558739,13558739,2001,3,30,Comedy,NA,NA,5497.251374312844,6775.981509245377,6775.981509245377
Juwanna Mann,91,4.7,7052,Jesse Vaughan,Bradley Allenstein,15600000,13571817,13771817,2002,6,21,Comedy,Drama,Romance,7792.207792207792,6779.129370629371,6879.029470529471
Billy Elliot,110,7.7,141938,Stephen Daldry,Lee Hall,5000000,21995263,109252972,2000,10,13,Drama,Music,NA,2500.0,10997.6315,54626.486
The Brothers,106,6.3,5041,Gary Hardwick,Gary Hardwick,6000000,27457409,27958191,2001,3,23,Comedy,Drama,Romance,2998.5007496251874,13721.843578210895,13972.109445277361
Rat Race,112,6.5,122532,Jerry Zucker,Andy Breckman,48000000,56607223,86607223,2001,8,17,Action,Adventure,Comedy,23988.0059970015,28289.466766616693,43281.97051474263
Heist,109,6.5,38924,David Mamet,David Mamet,35000000,23483357,28906817,2001,11,9,Action,Crime,Drama,17491.254372813593,11735.810594702649,14446.185407296352
The Sweetest Thing,84,5.2,62154,Roger Kumble,Nancy M. Pimental,43000000,24430272,63078756,2002,1,1,Comedy,Romance,NA,21478.521478521478,12202.933066933067,31507.87012987013
Baby Boy,130,6.4,16392,John Singleton,John Singleton,16000000,28734552,28734552,2001,6,27,Crime,Drama,Romance,7996.001999000499,14360.095952023989,14360.095952023989
The Curse of the Jade Scorpion,103,6.7,42268,Woody Allen,Woody Allen,26000000,7496522,18496522,2001,8,24,Comedy,Crime,Mystery,12993.503248375811,3746.3878060969514,9243.639180409795
Cursed,97,5.0,34841,Wes Craven,Kevin Williamson,35000000,19294901,25114901,2005,2,25,Comedy,Horror,NA,17456.35910224439,9623.392019950124,12526.135162094763
Panic Room,112,6.8,295352,David Fincher,David Koepp,48000000,95308367,196308367,2002,3,29,Crime,Drama,Thriller,23976.023976023975,47606.57692307692,98056.12737262738
Pootie Tang,81,5.3,15021,Louis C.K.,Louis C.K.,3500000,3293258,3293258,2001,6,29,Action,Adventure,Comedy,1749.1254372813594,1645.8060969515243,1645.8060969515243
Ghost Rider,110,5.3,251074,Mark Steven Johnson,Mark Steven Johnson,120000000,115802596,229545589,2007,2,16,Action,Fantasy,Thriller,59790.732436472346,57699.35027404086,114372.49078226209
My Big Fat Greek Wedding,95,6.6,143871,Joel Zwick,Nia Vardalos,5000000,241438208,374890034,2002,4,19,Comedy,Drama,Romance,2497.5024975024976,120598.5054945055,187257.75924075925
Jay and Silent Bob Strike Back,104,6.8,160522,Kevin Smith,Kevin Smith,22000000,30059386,33762400,2001,8,24,Comedy,NA,NA,10994.502748625688,15022.181909045477,16872.763618190904
Empire,90,5.9,7873,Franc. Reyes,Franc. Reyes,3500000,17504595,18495444,2002,12,6,Crime,Drama,Thriller,1748.2517482517483,8743.553946053946,9238.483516483517
George Washington,89,7.2,8641,David Gordon Green,David Gordon Green,42000,241816,342722,2000,10,27,Drama,NA,NA,21.0,120.908,171.361
Jeepers Creepers,90,6.2,141420,Victor Salva,Victor Salva,10000000,37904175,58939035,2001,8,31,Horror,Mystery,NA,4997.501249375312,18942.61619190405,29454.790104947526
Basic,98,6.4,66221,John McTiernan,James Vanderbilt,50000000,26599248,42598498,2003,3,28,Action,Crime,Drama,24962.55616575137,13279.704443334998,21267.34797803295
Life as a House,125,7.4,45494,Irwin Winkler,Mark Andrus,18000000,15652637,23889158,2001,10,26,Drama,NA,NA,8995.502248875562,7822.407296351824,11938.609695152423
Murder by Numbers,115,6.2,62096,Barbet Schroeder,Tony Gayton,50000000,31874869,56643267,2002,4,19,Crime,Mystery,Thriller,24975.024975024975,15921.512987012988,28293.34015984016
One Hour Photo,96,6.8,131199,Mark Romanek,Mark Romanek,12000000,31597131,52223306,2002,8,21,Drama,Thriller,NA,5994.005994005994,15782.782717282716,26085.567432567434
The Rookie,127,6.9,36967,John Lee Hancock,Mike Rich,22000000,75600072,80491516,2002,3,29,Drama,Family,Sport,10989.010989010989,37762.27372627373,40205.55244755245
Death to Smoochy,109,6.3,42446,Danny DeVito,Adam Resnick,50000000,8355815,8374062,2002,3,29,Comedy,Crime,Drama,24975.024975024975,4173.733766233766,4182.848151848152
Duplex,89,5.9,61324,Danny DeVito,Larry Doyle,40000000,9652000,10070651,2003,9,26,Comedy,NA,NA,19970.044932601097,4818.771842236645,5027.783824263604
Marci X,84,3.0,5479,Richard Benjamin,Paul Rudnick,20000000,1646664,1646664,2003,8,22,Comedy,Music,NA,9985.022466300548,822.0988517224164,822.0988517224164
Abandon,99,4.8,10141,Stephen Gaghan,Stephen Gaghan,25000000,10719367,12219367,2002,10,18,Drama,Mystery,Romance,12487.512487512487,5354.329170829171,6103.57992007992
Brigham City,119,6.7,1602,Richard Dutcher,Richard Dutcher,1000000,852206,852206,2001,4,6,Crime,Drama,Mystery,499.7501249375312,425.8900549725137,425.8900549725137
The Majestic,152,6.9,57379,Frank Darabont,Michael Sloane,72000000,27796042,37306334,2001,12,21,Drama,Romance,NA,35982.00899550225,13891.075462268866,18643.84507746127
Two Can Play That Game,90,6.1,7336,Mark Brown,Mark Brown,13000000,22235901,22391450,2001,9,7,Comedy,Romance,NA,6496.751624187906,11112.394302848576,11190.129935032484
The Business of Strangers,84,6.3,3831,Patrick Stettner,Patrick Stettner,6000000,1030920,1290920,2001,12,7,Drama,Thriller,NA,2998.5007496251874,515.2023988005997,645.1374312843578
My Boss's Daughter,86,4.7,30572,David Zucker,David Dorfman,14000000,15549702,15565357,2003,8,22,Comedy,Romance,NA,6989.515726410385,7763.206190713929,7771.021967049426
Narc,105,7.1,42945,Joe Carnahan,Joe Carnahan,7500000,10465659,11843260,2002,12,20,Crime,Drama,Mystery,3746.253746253746,5227.601898101898,5915.714285714285
Punch-Drunk Love,95,7.3,175889,Paul Thomas Anderson,Paul Thomas Anderson,25000000,17791031,24591031,2002,10,11,Comedy,Drama,Romance,12487.512487512487,8886.62887112887,12283.232267732268
Ararat,115,6.3,14751,Atom Egoyan,Atom Egoyan,15500000,1693000,1757694,2002,11,15,Drama,War,NA,7742.257742257742,845.6543456543457,877.969030969031
Orange County,82,6.2,51808,Jake Kasdan,Mike White,18000000,41059716,43308707,2002,1,11,Comedy,Drama,NA,8991.008991008992,20509.34865134865,21632.72077922078
Crossroads,93,3.7,43307,Tamra Davis,Shonda Rhimes,12000000,37188667,57000000,2002,2,15,Comedy,Drama,Romance,5994.005994005994,18575.75774225774,28471.528471528472
The Country Bears,88,4.2,6084,Peter Hastings,Mark Perez,20000000,16988996,16988996,2002,7,26,Comedy,Family,Music,9990.00999000999,8486.011988011987,8486.011988011987
Enough,115,5.8,47455,Michael Apted,Nicholas Kazan,38000000,39177215,50970660,2002,5,24,Crime,Drama,Thriller,18981.01898101898,19569.03846153846,25459.87012987013
How High,93,6.2,61510,Jesse Dylan,Dustin Lee Abraham,12000000,31155435,31222395,2001,12,21,Comedy,Fantasy,NA,5997.001499250375,15569.932533733134,15603.39580209895
Hollywood Ending,112,6.5,28056,Woody Allen,Woody Allen,16000000,4839383,14839383,2002,5,3,Comedy,Romance,NA,7992.007992007992,2417.2742257742257,7412.279220779221
The Good Girl,93,6.4,47131,Miguel Arteta,Mike White,8000000,14018296,16585503,2002,8,7,Drama,Romance,NA,3996.003996003996,7002.145854145854,8284.467032967033
Joe Somebody,98,5.5,11057,John Pasquin,John Scott Shepherd,38000000,22770864,24515990,2001,12,21,Comedy,Drama,NA,18990.504747626186,11379.742128935532,12251.869065467266
Trapped,106,6.1,25689,Luis Mandoki,Greg Iles,30000000,6916869,7005468,2002,9,20,Action,Crime,Drama,14985.014985014985,3454.9795204795205,3499.2347652347653
The Banger Sisters,98,5.7,17243,Bob Dolman,Bob Dolman,10000000,30306281,38067218,2002,9,20,Comedy,Drama,NA,4995.004995004995,15138.002497502497,19014.594405594406
Femme Fatale,114,6.2,37501,Brian De Palma,Brian De Palma,35000000,6630252,16830252,2002,11,6,Crime,Drama,Mystery,17482.517482517484,3311.8141858141857,8406.71928071928
Igby Goes Down,98,6.8,35016,Burr Steers,Burr Steers,9000000,4777465,5512151,2002,9,13,Comedy,Drama,NA,4495.504495504496,2386.346153846154,2753.3221778221778
Love Liza,90,6.9,8520,Todd Louiso,Gordy Hoffman,1000000,213137,213137,2002,12,30,Comedy,Drama,NA,499.5004995004995,106.46203796203797,106.46203796203797
Brooklyn Rules,99,6.3,5950,Michael Corrente,Terence Winter,8000000,458232,458232,2007,5,11,Crime,Drama,NA,3986.0488290981566,228.3168908819133,228.3168908819133
No Man's Land,98,7.9,48691,Danis Tanovic,Danis Tanovic,1000000,1067481,2684207,2001,12,7,Comedy,Drama,War,499.7501249375312,533.4737631184407,1341.432783608196
They,89,4.8,13606,Robert Harmon,Brendan Hood,17000000,12840842,16140842,2002,11,27,Horror,Mystery,Thriller,8491.508491508492,6414.006993006993,8062.358641358642
Once Upon a Time in Mexico,102,6.3,169150,Robert Rodriguez,Robert Rodriguez,29000000,56330657,97413527,2003,9,12,Action,Crime,Thriller,14478.282576135796,28123.143784323514,48633.81278082875
Signs,106,6.8,383708,M. Night Shyamalan,M. Night Shyamalan,70702619,227969295,408250578,2002,8,2,Drama,Mystery,Sci-Fi,35315.993506493505,113870.77672327672,203921.36763236762
Stolen Summer,91,6.5,2887,Pete Jones,Pete Jones,1500000,119841,119841,2002,3,22,Drama,NA,NA,749.2507492507492,59.86063936063936,59.86063936063936
Sunshine State,141,6.8,4228,John Sayles,John Sayles,5600000,3064356,3281898,2002,6,21,Drama,Romance,NA,2797.2027972027972,1530.6473526473526,1639.3096903096903
All or Nothing,128,7.5,11400,Mike Leigh,Mike Leigh,9000000,184255,186240,2002,10,25,Drama,NA,NA,4495.504495504496,92.03546453546454,93.02697302697302
Daredevil,103,5.3,228331,Mark Steven Johnson,Mark Steven Johnson,80000000,102543518,182782518,2003,2,14,Action,Crime,NA,39940.08986520219,51194.96655017474,91254.37743384922
The Life of David Gale,130,7.5,125540,Alan Parker,Charles Randolph,50000000,19694635,28920188,2003,2,21,Crime,Drama,Mystery,24962.55616575137,9832.568647029455,14438.436345481778
Full Frontal,101,4.7,11279,Steven Soderbergh,Coleman Hough,2000000,2512846,3438804,2002,8,2,Comedy,Romance,NA,999.000999000999,1255.167832167832,1717.6843156843156
The Wash,96,4.8,7613,DJ Pooh,DJ Pooh,4000000,10097096,10097096,2001,11,14,Comedy,NA,NA,1999.0004997501248,5046.024987506247,5046.024987506247
Beyond Borders,127,6.4,29000,Martin Campbell,Caspian Tredwell-Owen,60000000,4426297,11427090,2003,10,24,Adventure,Drama,Romance,29955.067398901647,2209.833749375936,5704.987518721917
Wrong Turn,84,6.1,130316,Rob Schmidt,Alan B. McElroy,10000000,15417771,28649556,2003,5,30,Horror,Thriller,NA,4992.511233150274,7697.339490763854,14303.323015476784
xXx,124,5.8,185928,Rob Cohen,Rich Wilkes,70000000,141930000,267200000,2002,8,9,Action,Adventure,Thriller,34965.03496503497,70894.10589410589,133466.53346653347
Time Changer,95,5.2,2884,Rich Christiano,Rich Christiano,825000,1500711,1500711,2002,10,25,Drama,Fantasy,Sci-Fi,412.0879120879121,749.6058941058941,749.6058941058941
Half Past Dead,98,4.6,16652,Don Michael Paul,Don Michael Paul,25000000,15567860,19233280,2002,11,15,Action,Crime,Thriller,12487.512487512487,7776.153846153846,9607.032967032967
8 Mile,110,7.2,318256,Curtis Hanson,Scott Silver,41000000,116724075,245768384,2002,11,8,Drama,Music,NA,20479.52047952048,58303.73376623377,122761.43056943057
Gigli,121,2.6,50589,Martin Brest,Martin Brest,54000000,6087542,7126002,2003,8,1,Comedy,Crime,Romance,26959.560659011484,3039.2121817274087,3557.6645032451324
Jersey Girl,102,6.2,70048,Kevin Smith,Kevin Smith,35000000,25266129,37066129,2004,3,26,Comedy,Drama,Romance,17465.06986027944,12607.84880239521,18496.07235528942
Jeepers Creepers 2,106,5.7,70186,Victor Salva,Victor Salva,25000000,35623801,119923801,2003,8,29,Horror,NA,NA,12481.278082875686,17785.222666001,59872.09236145781
The Order,102,5.1,18415,Brian Helgeland,Brian Helgeland,35000000,7659747,11559747,2003,9,5,Horror,Mystery,Thriller,17473.789316025963,3824.1372940589117,5771.216674987519
Anger Management,106,6.2,227250,Peter Segal,David Dorfman,56000000,135560942,195484552,2003,4,11,Comedy,NA,NA,27958.06290564154,67678.95257114328,97595.8821767349
Bringing Down the House,105,5.6,39042,Adam Shankman,Jason Filardi,20000000,132675402,164675402,2003,3,7,Comedy,NA,NA,9985.022466300548,66238.34348477283,82214.37943085372
Just Married,95,5.5,74132,Shawn Levy,Sam Harper,19000000,56127162,101564935,2003,1,10,Comedy,Romance,NA,9485.771342985521,28021.548676984523,50706.40788816775
Sonny,110,5.6,4542,Nicolas Cage,John Carlen,4000000,17639,17639,2002,12,27,Crime,Drama,NA,1998.001998001998,8.81068931068931,8.81068931068931
25th Hour,135,7.6,184205,Spike Lee,David Benioff,4500000,13084595,25344490,2002,12,19,Drama,NA,NA,2247.752247752248,6535.761738261738,12659.585414585415
Bobby,117,7.0,42752,Emilio Estevez,Emilio Estevez,14000000,11242801,20597806,2006,11,17,Biography,Drama,History,6979.062811565304,5604.586739780658,10268.098703888336
Ballistic: Ecks vs. Sever,91,3.7,20970,Wych Kaosayananda,Alan B. McElroy,70000000,14294842,14294842,2002,9,20,Action,Crime,Mystery,34965.03496503497,7140.2807192807195,7140.2807192807195
Interview with the Assassin,88,6.5,1906,Neil Burger,Neil Burger,750000,47329,47329,2002,11,15,Drama,NA,NA,374.6253746253746,23.640859140859142,23.640859140859142
Identity,90,7.3,265618,James Mangold,Michael Cooney,28000000,52131264,82119036,2003,4,25,Mystery,Thriller,NA,13979.03145282077,26026.59211183225,40998.02096854718
Bowling for Columbine,120,8.0,148396,Michael Moore,Michael Moore,3000000,21576018,58240487,2002,10,11,Crime,Documentary,Drama,1498.5014985014984,10777.231768231768,29091.152347652347
Confidence,97,6.6,35249,James Foley,Doug Jung,15000000,12212417,12970401,2003,4,25,Crime,Thriller,NA,7488.766849725412,6097.062905641537,6475.487269096356
Holes,117,7.0,99264,Andrew Davis,Louis Sachar,20000000,67383924,71232214,2003,4,18,Adventure,Comedy,Drama,9985.022466300548,33641.49975037444,35562.76285571643
Pieces of April,80,7.0,22061,Peter Hedges,Peter Hedges,300000,2528664,3571253,2003,10,17,Comedy,Drama,NA,149.77533699450825,1262.4383424862706,1782.9520718921617
The Blue Butterfly,97,6.2,1628,Léa Pool,Pete McCormack,10400000,1610194,1610194,2004,2,20,Adventure,Drama,NA,5189.620758483034,803.4900199600798,803.4900199600798
Out of Time,105,6.5,65179,Carl Franklin,Dave Collard,50000000,41083108,55489826,2003,10,3,Crime,Drama,Mystery,24962.55616575137,20510.78781827259,27703.357963055416
Two Weeks Notice,101,6.1,125436,Marc Lawrence,Marc Lawrence,60000000,93354918,199043309,2002,12,20,Comedy,Romance,NA,29970.02997002997,46630.82817182817,99422.23226773227
Anything Else,108,6.3,32531,Woody Allen,Woody Allen,18000000,3203044,13203044,2003,9,19,Comedy,Romance,NA,8986.520219670494,1599.1233150274588,6591.634548177733
Love Actually,135,7.6,529497,Richard Curtis,Richard Curtis,45000000,60104551,246348772,2003,11,7,Comedy,Drama,Romance,22466.300549176234,30007.26460309536,122989.90114827758
The Singing Detective,109,5.4,8915,Keith Gordon,Dennis Potter,8000000,336456,524747,2003,10,24,Comedy,Crime,Musical,3994.00898652022,167.97603594608088,261.98052920619074
Twisted,97,5.3,23021,Philip Kaufman,Sarah Thorp,50000000,25195050,40119848,2004,2,27,Crime,Drama,Mystery,24950.099800399203,12572.380239520959,20019.884231536926
The Calling,117,7.1,15,Michael C. Brown,Michael C. Brown,160000,32092,32092,2002,3,1,Drama,Family,NA,79.92007992007991,16.02997002997003,16.02997002997003
21 Grams,124,7.6,245116,Alejandro G. Iñárritu,Guillermo Arriaga,20000000,16248701,59667625,2003,11,21,Crime,Drama,Thriller,9985.022466300548,8112.18222666001,29789.128806789817
Daddy Day Care,92,5.6,73430,Steve Carr,Geoff Rodkey,60000000,104148781,164285587,2003,5,9,Comedy,Family,NA,29955.067398901647,51996.39590614079,82019.76385421868
The Hebrew Hammer,85,6.1,5070,Jonathan Kesselman,Jonathan Kesselman,1300000,77755,90213,2003,12,19,Comedy,NA,NA,649.0264603095357,38.81927109335996,45.038941587618574
Hidalgo,136,6.7,85308,Joe Johnston,John Fusco,78000000,67286731,108086731,2004,3,5,Action,Adventure,Biography,38922.155688622755,33576.2130738523,53935.494510978046
The Incredibles,115,8.0,801587,Brad Bird,Brad Bird,92000000,261441092,631441092,2004,10,22,Action,Adventure,Animation,45908.18363273453,130459.62674650698,315090.36526946106
Alex & Emma,96,5.5,13858,Rob Reiner,Jeremy Leven,30000000,14208384,15358583,2003,6,20,Comedy,Romance,NA,14977.533699450823,7093.551672491263,7667.789815277084
Resident Evil: Apocalypse,94,6.1,208987,Alexander Witt,Paul W.S. Anderson,50000000,50740078,125168734,2004,9,10,Action,Horror,Sci-Fi,24950.099800399203,25319.400199600797,62459.44810379241
Elf,97,7.1,309603,Jon Favreau,David Berenbaum,32000000,181096587,227909435,2003,11,7,Adventure,Comedy,Family,15976.03594608088,90412.6744882676,113784.04143784323
Kingdom of Heaven,144,7.3,311627,Ridley Scott,William Monahan,110000000,47398413,218674938,2005,5,6,Action,Adventure,Drama,54862.84289276808,23640.106234413965,109064.80698254364
Envy,99,4.8,32215,Barry Levinson,Steve Adams,20000000,13548322,14566246,2004,4,30,Comedy,NA,NA,9980.039920159681,6760.639720558882,7268.585828343314
Secondhand Lions,111,7.5,61266,Tim McCanlies,Tim McCanlies,30000000,42070939,47902566,2003,9,19,Comedy,Drama,Family,14977.533699450823,21003.963554667997,23915.40988517224
American Wedding,96,6.3,216256,Jesse Dylan,Adam Herz,55000000,104354205,232354205,2003,8,1,Comedy,NA,NA,27458.81178232651,52098.95406889665,116003.09785322017
Torque,84,4.1,29399,Joseph Kahn,Matt Johnson,40000000,21176322,46176322,2004,1,16,Action,Comedy,Crime,19960.079840319362,10567.026946107784,23042.076846307384
School of Rock,109,7.2,328296,Richard Linklater,Mike White,20000000,81261177,131944672,2003,10,3,Comedy,Music,NA,9985.022466300548,40569.73389915127,65873.52571143286
Garden State,102,7.4,222742,Zach Braff,Zach Braff,2500000,26782316,36028802,2004,7,28,Comedy,Drama,Romance,1247.5049900199601,13364.429141716568,17978.444111776447
Lost in Translation,102,7.7,485022,Sofia Coppola,Sofia Coppola,4000000,44585453,117085297,2003,9,12,Comedy,Drama,NA,1997.00449326011,22259.33749375936,58454.96605092361
Win a Date with Tad Hamilton!,96,5.6,29365,Robert Luketic,Victor Levin,24000000,16980098,17589829,2004,1,23,Comedy,Romance,NA,11976.047904191617,8473.102794411177,8777.359780439121
Something's Gotta Give,128,6.7,128518,Nancy Meyers,Nancy Meyers,80000000,124685242,266685242,2003,12,12,Comedy,Drama,Romance,39940.08986520219,62249.247129306044,133142.90664003993
The Haunted Mansion,99,5.2,56633,Rob Minkoff,David Berenbaum,90000000,75817994,155750628,2003,11,26,Comedy,Family,Fantasy,44932.60109835247,37852.218671992014,77758.67598602097
Paparazzi,84,5.7,15655,Paul Abascal,Forry Smith,20000000,15712072,16612072,2004,9,3,Action,Crime,Drama,9980.039920159681,7840.355289421158,8289.457085828344
Shopgirl,106,6.3,24636,Anand Tucker,Steve Martin,7500000,10284523,11758418,2005,10,21,Drama,Romance,NA,3740.648379052369,5129.437905236908,5864.547630922693
Van Helsing,131,6.1,282929,Stephen Sommers,Stephen Sommers,170000000,120150546,300150546,2004,5,5,Action,Adventure,Fantasy,84830.33932135729,59955.3622754491,149775.72155688622
The Aviator,170,7.5,382311,Martin Scorsese,John Logan,110000000,102608827,208370892,2004,12,17,Biography,Drama,NA,54890.21956087824,51202.00948103792,103977.49101796407
From Justin to Kelly,81,1.9,26993,Robert Iscove,Kim Fuller,12000000,4922166,4922166,2003,6,20,Comedy,Musical,Romance,5991.013479780329,2457.3969046430357,2457.3969046430357
The Station Agent,89,7.6,73051,Tom McCarthy,Tom McCarthy,500000,5801558,9470209,2003,10,3,Comedy,Drama,NA,249.62556165751374,2896.434348477284,4728.012481278083
Monster,109,7.3,160739,Patty Jenkins,Patty Jenkins,5000000,34469210,64200321,2003,12,24,Biography,Crime,Drama,2496.255616575137,17208.79181228158,32052.082376435348
Dear Wendy,105,6.5,10451,Thomas Vinterberg,Lars von Trier,8000000,23106,446438,2005,9,23,Comedy,Crime,Drama,3990.0249376558604,11.52418952618454,222.66234413965088
Along Came Polly,90,6.0,143155,John Hamburg,John Hamburg,42000000,88073507,173044410,2004,1,16,Comedy,Romance,NA,20958.08383233533,43948.855788423156,86349.50598802396
