title,runtimeMinutes,genres,averageRating,numVotes,director,writer,releaseDate,productionBudget,domesticGross,worldwideGross,releaseYear,releaseMonth,releaseDay
Harlem Nights,116,"Comedy,Crime,Drama",6.1,24637,Eddie Murphy,Eddie Murphy,"Nov 17, 1989",30000000,60857262,95857262,1989,11,17
Major League,107,"Comedy,Sport",7.2,75682,David S. Ward,David S. Ward,"Apr 7, 1989",11000000,49793054,49793054,1989,4,7
Pet Sematary,103,"Fantasy,Horror,Thriller",6.5,114243,Mary Lambert,Stephen King,"Apr 21, 1989",11500000,57469179,57469850,1989,4,21
Roger & Me,91,Documentary,7.5,27451,Michael Moore,Michael Moore,"Dec 20, 1989",140000,6706368,6706368,1989,12,20
Sea of Love,113,"Crime,Drama,Mystery",6.8,44616,Harold Becker,Richard Price,"Sep 15, 1989",19000000,58571513,110879513,1989,9,15
"Sex, Lies, and Videotape",100,Drama,7.2,59024,Steven Soderbergh,Steven Soderbergh,"Aug 4, 1989",1200000,24741667,36741667,1989,8,4
Child's Play 2,84,"Horror,Thriller",5.9,57217,John Lafia,Don Mancini,"Nov 9, 1990",13000000,26904572,34166572,1990,11,9
Dances with Wolves,181,"Adventure,Drama,Western",8.0,288215,Kevin Costner,Michael Blake,"Nov 9, 1990",19000000,184208842,424208805,1990,11,9
Flatliners,115,"Drama,Horror,Sci-Fi",6.5,92851,Joel Schumacher,Peter Filardi,"Aug 10, 1990",26000000,61308153,61308153,1990,8,10
Ghost,127,"Drama,Fantasy,Romance",7.1,234157,Jerry Zucker,Bruce Joel Rubin,"Jul 13, 1990",22000000,217631306,517599988,1990,7,13
Home Alone,103,"Comedy,Family",7.7,649278,Chris Columbus,John Hughes,"Nov 16, 1990",15000000,285761243,476680641,1990,11,16
Metropolitan,98,"Comedy,Drama,Romance",7.3,12350,Whit Stillman,Whit Stillman,"Aug 3, 1990",430000,2938000,2938000,1990,8,3
Mo' Better Blues,129,"Drama,Music,Romance",6.7,13564,Spike Lee,Spike Lee,"Aug 3, 1990",10000000,16153000,16153000,1990,8,3
Pretty Woman,119,"Comedy,Romance",7.1,357877,Garry Marshall,J.F. Lawton,"Mar 23, 1990",14000000,178406268,432566361,1990,3,23
Boyz n the Hood,112,"Crime,Drama",7.8,153377,John Singleton,John Singleton,"Jul 12, 1991",6500000,56190094,56215095,1991,7,12
The Fisher King,137,"Comedy,Drama,Fantasy",7.5,90453,Terry Gilliam,Richard LaGravenese,"Sep 20, 1991",24000000,41798224,41798224,1991,9,20
Harley Davidson and the Marlboro Man,98,"Action,Crime,Drama",6.1,22226,Simon Wincer,Don Michael Paul,"Aug 23, 1991",23000000,7018525,7018525,1991,8,23
